"code","name","portfolio_lvr","standard_lvr","single_lvr"
"ILB","ISHARES GOVERNMENT INFLATION ETF","75","70","65"
"ELD","ELDERS LIMITED","60","55","50"
"20","ETF","80","75","70"
"EMR","EMERALD RESOURCES NL","50","45","40"
"ILU","ILUKA RESOURCES LIMITED","70","65","60"
"EQT","EQT HOLDINGS LIMITED","50","45","40"
"IMA","IMAGE RESOURCES NL","40","0","0"
"ERTH","BETASHARES CLIMATE CHANGE INNOVATION ETF","65","60","55"
"IMD","IMDEX LIMITED","50","45","40"
"ESGI","VANECK MSCI INTERNATIONAL SUSTAINABLE EQUITY ETF","75","70","65"
"INA","INGENIA COMMUNITIES GROUP","60","55","50"
"ESPO","VANECK VIDEO GAMING AND ESPORTS ETF","70","65","60"
"INCM","BETASHARES GLOBAL INCOME LEADERS ETF","65","60","55"
"50","ETF","75","70","65"
"ETHI","BETASHARES GLOBAL SUSTAINABILITY LEADERS ETF","75","70","65"
"ING","INGHAMS GROUP LIMITED","60","55","50"
"ETPMAG","GLOBAL X PHYSICAL SILVER A","65","60","55"
"MANAGED","FUN","65","60","55"
"ETPMPT","GLOBAL X PHYSICAL PLATINUM A","55","50","45"
"100","ETF","75","70","65"
"EVN","EVOLUTION MINING LIMITED","70","65","60"
"200","ETF","80","75","70"
"EVT","EVT LIMITED","65","60","55"
"IPH","IPH LIMITED","60","55","50"
"20","PORTFOLIO DIVERSIFIER ETF","80","75","70"
"IPL","INCITEC PIVOT LIMITED","70","65","60"
"100","ETF","70","65","60"
"IRE","IRESS LIMITED","65","60","55"
"FAIR","BETASHARES AUSTRALIAN SUSTAINABILITY LEADERS ETF","80","75","70"
"IRI","INTEGRATED RESEARCH LIMITED","40","0","0"
"ISEC","ISHARES ENHANCED CASH ETF","80","75","70"
"FBU","FLETCHER BUILDING LIMITED","45","40","35"
"ASX","SMALL ORDINARIES ETF","70","65","60"
"FEMX","FIDELITY GLOBAL EMERGING MARKETS ACTIVE ETF","70","65","60"
"IVE","ISHARES MSCI EAFE ETF","80","75","70"
"FEX","FENIX RESOURCES LTD","40","0","0"
"500","ETF","80","75","70"
"FGG","FUTURE GENERATION GLOBAL LIMITED","65","60","55"
"IWLD","ISHARES CORE MSCI WORLD EX AUSTRALIA ESG ETF","75","70","65"
"FGX","FUTURE GENERATION AUSTRALIA LIMITED","70","65","60"
"IXI","ISHARES GLOBAL CONSUMER STAPLES ETF","70","65","60"
"FLT","FLIGHT CENTRE TRAVEL GROUP LIMITED","70","65","60"
"IXJ","ISHARES GLOBAL HEALTHCARE ETF","70","65","60"
"FMG","FORTESCUE LTD","65","60","55"
"CAP","ETF","65","60","55"
"CURRENCY","HEDGED","65","60","55"
"FI","LIMITED","75","70","65"
"PAYKEL","HEALTHCARE CORPORATION LIMITED","65","60","55"
"JDO","JUDO CAPITAL HOLDINGS LIMITED","50","45","40"
"CURRENCY","HEDGED","70","65","60"
"JHX","JAMES HARDIE INDUSTRIES PLC","70","65","60"
"FWD","FLEETWOOD LIMITED","40","35","30"
"JIN","JUMBO INTERACTIVE LIMITED","50","45","40"
"GDI","GDI PROPERTY GROUP","45","40","35"
"JLG","JOHNS LYNG GROUP LIMITED","50","45","40"
"GDX","VANECK GOLD MINERS ETF","70","65","60"
"JMS","JUPITER MINES LIMITED","40","0","0"
"G8","EDUCATION LIMITED","50","45","40"
"KAR","KAROON ENERGY LTD","45","40","35"
"CCY","HEDGED","80","75","70"
"COM","LTD","45","40","35"
"GMD","GENESIS MINERALS LIMITED","45","40","35"
"KLS","KELSIAN GROUP LIMITED","60","55","50"
"GMG","GOODMAN GROUP","75","70","65"
"KMD","KMD BRANDS LIMITED","45","40","35"
"GNC","GRAINCORP LIMITED","60","55","50"
"KSL","KINA SECURITIES LIMITED","40","35","30"
