code,name,portfolio_lvr,standard_lvr,single_lvr
MQGPF,MACQUARIE GROUP LIMITED,80,75,70
MTS,METCASH LIMITED,70,65,60
MVA,VANECK AUSTRALIAN PROPERTY ETF,70,65,60
MVB,VANECK AUSTRALIAN BANKS ETF,80,75,70
MVE,VANECK S&P/ASX MIDCAP ETF,80,75,70
MVR,VANECK AUSTRALIAN RESOURCES ETF,75,70,65
MVW,VANECK AUSTRALIAN EQUAL WEIGHT ETF,75,70,65
MXT,METRICS MASTER INCOME TRUST,40,35,30
MYR,MYER HOLDINGS LIMITED,40,35,30
MYS,MYSTATE LIMITED,45,40,35
NAB,NATIONAL AUSTRALIA BANK LIMITED,80,75,70
NABPF,NATIONAL AUSTRALIA BANK LIMITED,80,75,70
NABPH,NATIONAL AUSTRALIA BANK LIMITED,80,75,70
NABPI,NATIONAL AUSTRALIA BANK LIMITED,80,75,70
NABPJ,NATIONAL AUSTRALIA BANK LIMITED,80,75,70
NAN,NANOSONICS LIMITED,50,45,40
NCK,NICK SCALI LIMITED,55,50,45
NDIA,GLOBAL X INDIA NIFTY 50 ETF,70,65,60
NDQ,BETASHARES NASDAQ 100 ETF,80,75,70
NEC,NINE ENTERTAINMENT CO HOLDINGS LIMITED,65,60,55
NEM,NEWMONT CORPORATION,75,70,65
NEU,NEUREN PHARMACEUTICALS LIMITED,40,0,0
NGI,NAVIGATOR GLOBAL INVESTMENTS LIMITED,45,40,35
NHC,NEW HOPE CORPORATION LIMITED,55,50,45
NHF,NIB HOLDINGS LIMITED,70,65,60
NIC,NICKEL INDUSTRIES LIMITED,40,0,0
NSR,NATIONAL STORAGE REIT,50,45,40
NST,NORTHERN STAR RESOURCES LTD,70,65,60
NUF,NUFARM LIMITED,65,60,55
NWH,NRW HOLDINGS LIMITED,45,40,35
NWL,NETWEALTH GROUP LIMITED,60,55,50
NWS,NEWS CORPORATION,65,60,55
NXT,NEXTDC LIMITED,60,55,50
OBL,OMNI BRIDGEWAY LIMITED,45,40,35
OCL,OBJECTIVE CORPORATION LIMITED,40,0,0
OFX,OFX GROUP LIMITED,50,45,40
OML,OOH!MEDIA LIMITED,40,35,30
OOO,BETASHARES CRUDE OIL INDEX ETF-CURRENCY HEDGED (SYNTHETIC),45,40,35
OPH,OPHIR HIGH CONVICTION FUND,55,50,45
ORA,ORORA LIMITED,60,55,50
ORG,ORIGIN ENERGY LIMITED,50,45,40
